FID,district,community,facility,fac_name,type,ownership,functional,lat,long,source,source_geo,dhis2_id,geo_date,comments,x,y
1,Bo,Bum Kaku,Bum Kaku MCHP,Bum Kaku,MCHP,Government,Functional,7.505273,-11.877486,DPPI,GPS,fg1YbsySsK4,2016, ,-11.8774859999789,7.50527299984913
2,Bo,Kasse,Kasse MCHP,Kasse,MCHP,Government,Functional,7.53685,-11.91978,DPPI,GPS,d2vcCqeRJJy,2016, ,-11.9197799997472,7.53685000002753
3,Bo,Mano Yorgbo,Mano Yorgbo MCHP,Mano Yorgbo,MCHP,Government,Functional,7.558374,-11.86909,DPPI,GPS,shJl21cKmEL,2016, ,-11.8690900004032,7.55837399976031
4,Bo,Momajo,Momajo CHP,Momajo,CHP,Government,Functional,7.575193,-11.93802,DPPI,GPS,fRJTlzAV68y,2016, ,-11.938020000023,7.5751930001569
5,Bo,Jimmi,Jimmi CHC,Jimmi,CHC,Government,Functional,7.60609,-11.81584,DPPI,GPS,psVBVk4IYKD,2016, ,-11.815839999916,7.60608999955389
6,Bo,Senehun Ngola,Senehun Ngola MCHP,Senehun Ngola,MCHP,Government,Functional,7.611577,-11.867366,DPPI,GPS,E2mkfTma48l,2021, ,-11.8673660000408,7.61157699987871
7,Bo,Bathurst,Bathurst MCHP,Bathurst,MCHP,Government,Functional,7.6346,-11.6732,WHO,GPS,s5PtR2aCIde,2019, ,-11.6731999996802,7.63460000038975
8,Bo,Kakama,Kakama MCHP,Kakama,MCHP,Government,Functional,7.6356,-11.76005,DPPI,GPS,tq4vd17h83f,2016, ,-11.7600500001074,7.63559999974024
9,Bo,Limba,Limba CHP,Limba,CHP,Government,Functional,7.643087,-11.793313,DPPI,GPS,vlYbStUEfWN,2021, ,-11.793312999795,7.64308699966534
10,Bo,Sumbuya,Sumbuya CHC,Sumbuya,CHC,Government,Functional,7.65243,-11.96412,DPPI,GPS,v4nbdPq3fTm,2016, ,-11.9641200003377,7.65242999974475
11,Bo,Yambama,Yambama CHP,Yambama,CHP,Government,Functional,7.65405,-11.89158,DPPI,GPS,zbJeIizhDXa,2016, ,-11.8915799997172,7.65404999980768
12,Bo,Upper Saama,Upper Saama MCHP,Upper Saama,MCHP,Government,Functional,7.668,-11.86171,DPPI,GPS,rgAyPXkDt72,2016, ,-11.8617100000164,7.66800000009999
13,Bo,Niagorehun Gateway,Niagorehun CHP,Niagorehun,CHP,Government,Functional,7.681798,-11.76828,DPPI,GPS,Rq0YrzABijG,2016, ,-11.7682800001219,7.681797999678
14,Bo,Kaniya,Kaniya MCHP,Kaniya,MCHP,Government,Functional,7.681905,-11.993635,FMFL,GPS,gW4wut7X00m,2015, ,-11.9936349998553,7.68190500011571
15,Bo,Bontiwo,Bontiwo MCHP,Bontiwo,MCHP,Government,Functional,7.682043,-11.81217,DPPI,GPS,E9jgaM4D86H,2016, ,-11.8121699997457,7.68204300018436
16,Bo,Feiba,Feiba CHP,Feiba,CHP,Government,Functional,7.68217,-11.92181,DPPI,GPS,EdB5mJiCPil,2016, ,-11.9218099998316,7.68216999974572
17,Bo,Ngieyehun,Ngieyehun MCHP,Ngieyehun,MCHP,Government,Functional,7.694391,-11.87123,DPPI,GPS,CWlYZ1GzalJ,2016, ,-11.8712300001643,7.69439100034447
18,Bo,Griema Tikonko,Griema MCHP,Griema,MCHP,Government,Functional,7.695663,-11.73574,DPPI,GPS,lin1SziVM3K,2016, ,-11.7357399996013,7.69566299964777
19,Bo,Fanima,Fanima MCHP,Fanima,MCHP,Government,Functional,7.70198,-11.52768,DPPI,GPS,Urtet1JUeKP,2016, ,-11.5276799997321,7.70197999957736
20,Bo,Koribondo,Koribondo CHC,Koribondo,CHC,Government,Functional,7.711308,-11.69365,DPPI,GPS,S0OICCgHsk0,2016, ,-11.6936500002473,7.71130799986435
21,Bo,Mokpendeh,Mokpendeh MCHP,Mokpendeh,MCHP,Government,Functional,7.7128,-11.94917,DPPI,GPS,n0dyKYSTioZ,2016, ,-11.9491699997956,7.71280000031982
22,Bo,Karleh,Karleh MCHP,Karleh,MCHP,Government,Functional,7.718791,-11.84897,DPPI,GPS,eDnijqJ24YY,2016, ,-11.8489699997656,7.71879099960501
23,Bo,Sahn Bumpe,Sahn Bumpe CHP,Sahn Bumpe,CHP,Government,Functional,7.723389,-12.03759,DPPI,GPS,Rtd00y1doNU,2016, ,-12.0375899997786,7.72338900030218
24,Bo,Kpetewoma,Kpetewoma CHP,Kpetewoma,CHP,Government,Functional,7.734725,-11.81521,DPPI,GPS,tCb3YPCB2yI,2016, ,-11.8152099996418,7.73472499965908
25,Bo,Heima,Heima MCHP,Heima,MCHP,Government,Functional,7.7385,-11.9019,WHO,GPS,K7ZHRYI0cLl,2019, ,-11.901899999885,7.73850000017489
26,Bo,Buma,Buma MCHP,Buma,MCHP,Government,Functional,7.739233,-11.97404,DPPI,GPS,rW2vVbBekod,2016, ,-11.9740400000459,7.73923299980316
27,Bo,Mano-Jaiama,Mano-Jaiama CHP,Mano-Jaiama,CHP,Government,Functional,7.749043,-11.61361,DPPI,GPS,Kd6JXhtVSGR,2016, ,-11.6136100000015,7.74904299983461
28,Bo,Mokoba,Mokoba MCHP,Mokoba,MCHP,Government,Functional,7.757949,-11.94804,DPPI,GPS,TTEnjA8GWE7,2016, ,-11.9480399998461,7.75794900044605
29,Bo,Kambawama,Kambawama MCHP,Kambawama,MCHP,Government,Functional,7.762959,-11.474323,FMFL,GPS,K3OvYtcfkgN,2015, ,-11.4743229997066,7.76295900035763
30,Bo,Walihun,Walihun MCHP,Walihun,MCHP,Government,Functional,7.768091,-12.09174,DPPI,GPS,Op4bPQHw8ud,2016, ,-12.0917400004006,7.76809099960002
31,Bo,Bongor,Bongor MCHP,Bongor,MCHP,Government,Functional,7.772621,-11.98698,SARA,GPS,tVNtvDfmxlS,2017, ,-11.9869799996272,7.77262099985933
32,Bo,Sembehun 17,Sembehun 17 CHP,Sembehun 17,CHP,Government,Functional,7.780206,-11.724311,FMFL,GPS,R7pidsMezSX,2015, ,-11.7243109995529,7.78020599980709
33,Bo,Gboyama,Gboyama CHC,Gboyama,CHC,Government,Functional,7.783575,-11.4272,DPPI,GPS,JC3Fok6rZsi,2016, ,-11.4272000002798,7.78357499958662
34,Bo,Serabu,Serabu Mission Hospital,Serabu Mission,HOSPITAL,Faith Based,Functional,7.793959,-12.052095,DPPI,GPS,stvHIALBnUc,2016, ,-12.0520949995845,7.79395900000787
35,Bo,Kassama,Kassama MCHP,Kassama,MCHP,Government,Functional,7.794353,-11.8315,DPPI,GPS,iFWSPgvOnT5,2016, ,-11.831499999925,7.79435300019088
36,Bo,Serabu,Serabu CHC,Serabu,CHC,Government,Functional,7.794467,-12.0515,DPPI,GPS,IhcOrAMCZMP,2016, ,-12.0515000000249,7.79446700005207
37,Bo,Sembehun Tabema,Sembehun Tabema MCHP,Sembehun Tabema,MCHP,Government,Functional,7.797647,-11.86769,DPPI,GPS,xYjGCuLscF5,2016, ,-11.8676899996937,7.79764700010901
38,Bo,Telu,Telu CHC,Telu,CHC,Government,Functional,7.802711,-11.63879,DPPI,GPS,YMTxgvLFyer,2016, ,-11.6387900001583,7.80271099981286
39,Bo,Kpetema Bumpe,Kpetema CHP,Kpetema,CHP,Government,Functional,7.8202,-11.9915,DPPI,GPS,hhpl4y2aYNE,2016, ,-11.9915000003247,7.82019999963035
40,Bo,Yengema,Yengema MCHP,Yengema,MCHP,Government,Functional,7.823759,-12.015263,DPPI,Village Center,MDGqDFsx4WL,2016, ,-12.0152629998875,7.82375900007781
41,Bo,Nianyahun,Nianyahun CHP,Nianyahun,CHP,Government,Functional,7.825822,-11.509363,DPPI,GPS,ZyKtTCEgBtn,2021, ,-11.5093630004021,7.82582199988542
42,Bo,Gbaama,Gbaama MCHP,Gbaama,MCHP,Government,Functional,7.83848,-11.61576,DPPI,GPS,a0jN5mmnDJE,2016, ,-11.6157600002238,7.83847999995209
43,Bo,Mamboma,Mamboma CHP,Mamboma,CHP,Government,Functional,7.84042,-11.66394,SARA,GPS,n8dwF6zMnoW,2017, ,-11.6639399998311,7.84042000038278
44,Bo,Makayoni,Makayoni MCHP,Makayoni,MCHP,Government,Functional,7.852134,-12.11994,DPPI,GPS,KzB8KLBZJAe,2016, ,-12.1199400004306,7.85213400008411
45,Bo,Faabu,Faabu CHP,Faabu,CHP,Government,Functional,7.856529,-11.54377,DPPI,GPS,HHWG6nob0O2,2016, ,-11.5437699997856,7.8565290004131
46,Bo,Gondama,Gondama CHC,Gondama,CHC,Government,Functional,7.865625,-11.70666,DPPI,GPS,NvQrMshyqso,2016, ,-11.7066600003587,7.8656249998939
47,Bo,Kigbai,Kigbai MCHP,Kigbai,MCHP,Government,Functional,7.86893,-11.50511,DPPI,GPS,wJSGhBCPVV7,2016, ,-11.5051100003262,7.86893000031932
48,Bo,Jormu,Jormu MCHP,Jormu,MCHP,Government,Functional,7.87165,-11.62798,SARA,GPS,MoOCa8qPPtv,2017, ,-11.627979999877,7.87164999984765
49,Bo,Tugbebu,Tugbebu CHP,Tugbebu,CHP,Government,Functional,7.877197,-11.535703,FMFL,GPS,u1q0uV5Gsux,2015, ,-11.5357030000933,7.87719700024144
50,Bo,Tikonko,Tikonko CHC,Tikonko,CHC,Government,Functional,7.878328,-11.78151,DPPI,GPS,VVmSRUJeP8o,2016, ,-11.7815099995868,7.87832800023705
51,Bo,Lowuma,Lowuma MCHP,Lowuma,MCHP,Government,Functional,7.87836,-11.573692,DPPI,GPS,o98gzTAi8WY,2021, ,-11.5736920000857,7.8783599999141
52,Bo,Pelewahun Ngiebu,Pelewahun MCHP,Pelewahun,MCHP,Government,Functional,7.885087,-11.45862,SARA,GPS,lqogPoG5BEG,2017, ,-11.4586200004126,7.88508699986522
53,Bo,Bumpe,Bumpe CHC,Bumpe,CHC,Government,Functional,7.889166,-11.90342,SARA,GPS,gvx18Rcbugy,2017, ,-11.9034199998331,7.88916600001096
54,Bo,Taninahun,Taninahun CHP,Taninahun,CHP,Government,Functional,7.8929,-12.08622,DPPI,GPS,EU1yoWkbvhi,2016, ,-12.0862200003527,7.89290000043474
55,Bo,Gollu,Gollu MCHP,Gollu,MCHP,Government,Functional,7.904004,-11.544274,DPPI,GPS,U4F289TX5Cp,2021, ,-11.5442739996453,7.90400399988471
56,Bo,Jembe,Jembe CHC,Jembe,CHC,Government,Functional,7.91968,-11.42828,DPPI,GPS,jJyWmH1ED2n,2016, ,-11.4282799997222,7.91967999973224
57,Bo,Mbundorbu,Mbundorbu MCHP,Mbundorbu,MCHP,Government,Functional,7.923448,-11.51102,DPPI,GPS,mpyXU2cI4Uz,2016, ,-11.5110200003727,7.92344799992532
58,Bo,Haikal Community,Haikal CHC,Haikal,CHC,Private,Functional,7.925179,-11.718481,DPPI,GPS,anRpU0w1Dg7,2022, ,-11.7184809995984,7.92517899971114
59,Bo,Komende Junction,Jan Christian Helvings Clinic,Jan Christian Helvings Clinic,CHP,Faith Based,Functional,7.928554,-11.534828,DPPI,GPS,No Data,2021, ,-11.534828000212,7.9285539997673
60,Bo,Baoma Station,Baoma Station CHP,Baoma Station,CHP,Government,Functional,7.929237,-11.437911,FMFL,GPS,yA4XvYXtIRl,2015, ,-11.4379109995929,7.92923699978775
61,Bo,Gerehun,St. Luke's - Gerehun CHC,St. Luke's - Gerehun,CHC,Faith Based,Functional,7.929573,-11.576273,DPPI,GPS,CdFFtqetD5V,2021, ,-11.5762730003986,7.92957299999398
62,Bo,Torwama,Torwama CHP,Torwama,CHP,Government,Functional,7.930167,-11.767815,DPPI,GPS,SYhqs7OhzuQ,2021, ,-11.767815000262,7.93016700040681
63,Bo,Mendewa  Layout,Mendewa Layout  CHC,Mendewa Layout,CHC,Private,Functional,7.932193,-11.745912,DPPI,GPS,No Data,2021, ,-11.7459120001387,7.93219300030677
64,Bo,Teloma- Torwama Road,Althe CHP,Althe,CHP,Private,Functional,7.932596,-11.723731,DPPI,GPS,TYTDJOikSBa,2021, ,-11.7237309997857,7.93259600000545
65,Bo,Yamandu,Yamandu CHC,Yamandu,CHC,Government,Functional,7.93418,-11.48926,DPPI,GPS,k88nbPWIklE,2016, ,-11.4892599996492,7.93418000020688
66,Bo,Mendewa,Mendewa CHP,Mendewa,CHP,Private,Non-Functional,7.9348,-11.74796,DPPI,GPS,ouYyKjLDDwo,2021, ,-11.7479600001539,7.93480000002006
67,Bo,Johnny st. shelmingo,Sowa's Hospital,Sowa's,HOSPITAL,Private,Functional,7.942532,-11.733404,DPPI,Village Center,COPscajpw9o,2021, ,-11.7334039997947,7.94253199955216
68,Bo,Kendeyama,Mamasa Life Saving Hospital,Mamasa Life Saving,HOSPITAL,Private,Functional,7.942732,-11.710874,DPPI,GPS,No Data,2021, ,-11.7108740004347,7.94273199978204
69,Bo,Bandajuma,Bandajuma MCHP,Bandajuma,MCHP,Government,Functional,7.942878,-11.666293,DPPI,GPS,tvBrm8tNhGy,2016, ,-11.6662930004216,7.94287800021959
70,Bo,Mattru On The Rail,Mattru On The Rail CHP,Mattru On The Rail,CHP,Government,Functional,7.9431,-11.7884,WHO,GPS,Q0CpslhFL8F,2019, ,-11.7883999998601,7.94309999966532
71,Bo,Gbondo Town,Favour MCHP,Favour,MCHP,Private,Functional,7.94335,-11.71983,DPPI,GPS,GVAOzCFjCHP,2016, ,-11.7198299997547,7.94335000040223
72,Bo,Johnny st. shelmingo,Nafaya MCHP,Nafaya,MCHP,Private,Functional,7.943603,-11.73142,FMFL,GPS,aRhodREBRmP,2015, ,-11.7314200000329,7.94360300037823
73,Bo,Kenedy Musa street,Agape Way CHP,Agape Way,CHP,Faith Based,Functional,7.946333,-11.73599,DPPI,GPS,r7HlpPKHfWW,2016, ,-11.7359900003382,7.9463330003677
74,Bo,Tengbewabu,Tengbewabu MCHP,Tengbewabu,MCHP,Private,Functional,7.947173,-11.72149,DPPI,GPS,SGR2i1KjYGA,2016, ,-11.7214899998635,7.94717300043368
75,Bo,Kandeh Town,Kandeh Town CHP,Kandeh Town,CHP,Private,Functional,7.947479,-11.75322,DPPI,GPS,QhmFZjy9z6C,2016, ,-11.753219999903,7.94747900015579
76,Bo,Niagorehun Community,M. M. Maternity MCHP,M. M. Maternity,MCHP,Private,Functional,7.948544,-11.705024,DPPI,GPS,RTTv7rDqnt7,2016, ,-11.7050239995579,7.94854399980579
77,Bo,Blamawo,Blamawo MCHP,Blamawo,MCHP,Government,Functional,7.949765,-11.52217,DPPI,GPS,fcupedn79pQ,2016, ,-11.5221700001454,7.94976500035455
78,Bo,Ngolahun,Ngolahun CHP,Ngolahun,CHP,Government,Functional,7.950019,-12.12574,SARA,GPS,tVsmCUVfEjo,2017, ,-12.125739999901,7.95001900037664
79,Bo,Kowama,Teaching Health Center Kowama Njala University,Teaching Health Center - Kowama Njala University,CHC,NGO,Functional,7.950072,-11.74846,DPPI,GPS,yTNr9FhoH9R,2016, ,-11.7484599998291,7.95007200012276
80,Bo,Messima,Needy CHC,Needy,CHC,Private,Functional,7.950093,-11.724,DPPI,GPS,zYdxdQdN4xN,2016, ,-11.7239999996003,7.95009300019183
81,Bo,Mosamai - Hanson Road,We Care CHP,We Care,CHP,Private,Functional,7.95018,-11.769061,DPPI,GPS,fkxcG28sDlQ,2021, ,-11.769061000165,7.95017999970725
82,Bo,New Police Barracks,New Police Barracks CHC,New Police Barracks,CHC,Government,Functional,7.950442,-11.71717,DPPI,GPS,X5KxV3braEy,2016, ,-11.7171700002953,7.95044200009829
83,Bo,176 Bo -Tiama Highway,Walk In Medical Associate Clinic,Walk In Medical Associate,CLINIC,Private,Functional,7.952076,-11.749749,DPPI,GPS,No Data,2021, ,-11.7497489999164,7.95207599990749
84,Bo,Towama Junction,Rescue Health Care Clinic,Rescue Health Care,CLINIC,Private,Functional,7.95209,-11.752301,DPPI,GPS,Qf8Y8e5Nzby,2021, ,-11.7523009997913,7.95208999965382
85,Bo,Sewa Road A. Line,Morning Star CHP,Morning Star,CHP,Faith Based,Functional,7.952147,-11.73199,DPPI,GPS,DbOpC8zLhh1,2016, ,-11.7319900002383,7.95214699958439
86,Bo,Torkpoi Town,Torkpoi Town CHC,Torkpoi Town,CHC,Government,Functional,7.953394,-11.716334,DPPI,GPS,TSJLGxhZDe7,2021, ,-11.7163340004137,7.95339400043281
87,Bo,Njagbla,Theresa Hakim CHP,Theresa Hakim,CHP,Private,Functional,7.955019,-11.774088,DPPI,GPS,aDT30LXiKa3,2021, ,-11.7740879999612,7.95501899982702
88,Bo,Fullawahun,Fullawahun MCHP,Fullawahun,MCHP,Private,Functional,7.956178,-11.76071,DPPI,Village Center,nL0LlQ7yC3Q,2021, ,-11.7607099999665,7.95617800021461
89,Bo,"Fagoya, Gerehun Road",Unimus MCHP,Unimus,MCHP,Private,Functional,7.956979,-11.72112,DPPI,GPS,R9kmRwOvmY0,2016, ,-11.7211199998881,7.95697900028068
90,Bo,Fullawahun Section,Lyn's Maternity CHC,Lyn's Maternity,CHC,Private,Functional,7.958382,-11.75899,DPPI,GPS,PCdZzUna8ag,2016, ,-11.7589899997886,7.95838200022916
91,Bo,Coronation Field,Serra Leone Red Cross Society  CHC,Serra Leone Red Cross Society,CHC,Faith Based,Functional,7.958705,-11.741862,DPPI,GPS,No Data,2021, ,-11.741862000431,7.9587049998359
92,Bo,Clock Tower,Kindoya Hospital,Kindoya,HOSPITAL,Private,Functional,7.959823,-11.739153,DPPI,GPS,osLV6D0TBTr,2021, ,-11.7391529996112,7.95982300013139
93,Bo,Bo Govt Secondary School Compound,Bo School Sick Bay,Bo School Sick Bay,CLINIC,Government,Functional,7.962361,-11.743268,DPPI,GPS,No Data,2021, ,-11.7432679996185,7.96236100025999
94,Bo,Brima Town,Brima Town CHP,Brima Town,CHP,Government,Functional,7.962541,-11.75588,DPPI,GPS,sVcW6ULu9jl,2016, ,-11.7558800002618,7.96254099956752
95,Bo,BO DHMT COMPOUND,Edc Unit CHP,Edc Unit,CHP,Government,Functional,7.96374,-11.74657,DPPI,GPS,irWqaop88lY,2016, ,-11.7465699999055,7.96374000000105
96,Bo,Bo Government Hospital Compound,Bo Government Hospital,Bo Government,HOSPITAL,Government,Functional,7.964121,-11.74282,DPPI,GPS,YlNHvcYybsg,2016, ,-11.7428199996432,7.96412099958451
97,Bo,Yemoh Town,Yemoh Town CHC,Yemoh Town,CHC,Government,Functional,7.964121,-11.723311,DPPI,GPS,fmffr8K9TD3,2016, ,-11.7233110002024,7.96412099958451
98,Bo,Bo Govt hospital Compound,Mch Static CHC,Mch Static,CHC,Government,Functional,7.964277,-11.743711,DPPI,GPS,VaI9khTIB29,2021, ,-11.7437110002624,7.96427699958389
99,Bo,Kagbiama,Kagbiama MCHP,Kagbiama,MCHP,Government,Functional,7.964405,-12.086616,DPPI,GPS,RY4IrycKB1V,2021, ,-12.0866159997286,7.96440500009072
100,Bo,No.1 Mission Road,Spllenz Clinic,Spllenz,CLINIC,Private,Functional,7.964535,-11.741767,DPPI,GPS,No Data,2021, ,-11.7417669996473,7.96453499979043
101,Bo,Hanga Town,Praise Foundation CHC,Praise Foundation,CHC,Faith Based,Functional,7.965481,-11.7404,DPPI,GPS,oAGhdT4TmS2,2016, ,-11.7403999995603,7.96548100024802
102,Bo,Mid Land,Mid Land MCHP,Mid Land,MCHP,Government,Functional,7.966999,-11.76844,DPPI,GPS,QRZaNrI0vPN,2016, ,-11.7684400003057,7.96699900010384
103,Bo,Niagorehun Vakie,Niagorehun Vakie MCHP,Niagorehun Vakie,MCHP,Government,Functional,7.968416,-12.02632,DPPI,GPS,p8APIHe5Ujm,2021, ,-12.0263199998681,7.96841599979859
104,Bo,Lewabu,Lewabu CHP,Lewabu,CHP,Private,Functional,7.942762717,-11.740360829,DPPI,GPS,RGpyGn882qm,2021,Requires Validation/Ground truthing,-11.7403608286892,7.9427627170258
105,Bo,Kebbie Town,Ndegbomie MCHP,Ndegbomie,MCHP,Private,Functional,7.969825,-11.76138,DPPI,GPS,c1netFCKWF2,2016, ,-11.7613800002867,7.96982500002377
106,Bo,Gobba Town,Gilas Hospital,Gilas,HOSPITAL,NGO,Functional,7.970994,-11.742262,DPPI,GPS,bCpDmnHKnMs,2021, ,-11.7422619999913,7.97099399997319
107,Bo,BO NO. 2 SECTION,Gbortima CHC,Gbortima,CHC,Government,Functional,7.971836,-11.72931,DPPI,GPS,q5lV1qv1juw,2016, ,-11.7293099998566,7.97183600013136
108,Bo,Batiama Layout,Batiama Layout MCHP,Batiama Layout,MCHP,Government,Functional,7.972395,-11.71599,DPPI,GPS,TCe2cuj5G1U,2016, ,-11.7159899998386,7.97239499982942
109,Bo,Kpumbu,Kpumbu MCHP,Kpumbu,MCHP,Government,Functional,7.973496,-11.48799,DPPI,GPS,S60m1IYSJE3,2021, ,-11.4879900004381,7.97349600024029
110,Bo,Foindu,Foindu MCHP,Foindu,MCHP,Government,Functional,7.974384,-11.39449,SARA,GPS,JUJPn9mKhP6,2017, ,-11.3944900000134,7.97438399982178
111,Bo,Kulanda Town,Mercy UMC Hospital,Mercy UMC,HOSPITAL,Faith Based,Functional,7.976754,-11.73729,SARA,GPS,Jx5dl3Fn9Fi,2017, ,-11.7372900000335,7.97675400029692
112,Bo,Tobu Section- Bojon street,Egyptian Clinic,Egyptian,CLINIC,Private,Functional,7.976855,-11.671254,DPPI,GPS,Wodb8F52Q66,2022, ,-11.6712539998721,7.97685499955861
113,Bo,Simbo Town,Simbo Town CHP,Simbo Town,CHP,Private,Functional,7.977519,-11.74051,DPPI,GPS,T36lkmOhEbL,2016, ,-11.7405100001363,7.97751899960218
114,Bo,Fengehun,Fengehun CHP,Fengehun,CHP,Government,Functional,7.97766,-11.5935,DPPI,GPS,uSb2BXWaKAE,2016, ,-11.5934999998251,7.97765999980919
115,Bo,Nduvuibu,Nduvuibu MCHP,Nduvuibu,MCHP,Government,Functional,7.982395,-11.72929,DPPI,GPS,Ar8MZ5E4LAi,2016, ,-11.7292899998336,7.98239499962961
116,Bo,Bandawa Community,Zion CHC,Zion,CHC,Faith Based,Functional,7.987181,-11.79855,SARA,GPS,IgJiHP4PTT6,2017, ,-11.7985500002823,7.9871810000032
117,Bo,Geoma 2 Layout,Bo Children's Hospital,Bo Children's,HOSPITAL,Private,Functional,7.987973,-11.76477,SARA,GPS,YnuW2z7qnpp,2017, ,-11.7647700001353,7.98797299965423
118,Bo,Yemoh Town,Gender CHP,Gender,CHP,Private,Functional,7.989605,-11.743525,DPPI,GPS,No Data,2021, ,-11.7435249997789,7.98960500027061
119,Bo,Gbanja Town,Gbanja Town MCHP,Gbanja Town,MCHP,Private,Functional,7.98964,-11.74344,DPPI,GPS,Qp8GIbUFzlS,2016, ,-11.7434400003557,7.98964000008596
120,Bo,Sembehun Mamagewoh,Sembehun Mamagewoh MCHP,Sembehun Mamagewoh,MCHP,Government,Functional,7.992544,-11.868325,DPPI,GPS,QbXGub6urCp,2016, ,-11.8683250001986,7.99254400000564
121,Bo,Kpetema Bagbwe,Kpetema MCHP,Kpetema,MCHP,Government,Functional,7.996925,-11.49736,DPPI,GPS,xTdypwiMOGF,2021, ,-11.497359999964,7.99692499968904
122,Bo,Yakaji,Yakaji MCHP,Yakaji,MCHP,Government,Functional,8.00429,-11.4277,DPPI,GPS,rVXVZ0q1RYR,2016, ,-11.427699999955,8.00429000028333
123,Bo,Manjama,Manjama CHC,Manjama,CHC,Faith Based,Functional,8.014636,-11.728783,DPPI,GPS,f0bNYnAN8Yf,2016, ,-11.7287829998355,8.01463599985158
124,Bo,Manguama,Manguama CHP,Manguama,CHP,Government,Functional,8.014699,-11.67608,DPPI,GPS,z3IMjLusLZp,2016, ,-11.6760800002917,8.01469900005884
125,Bo,Barlie,Barlie MCHP,Barlie,MCHP,Government,Functional,8.019674,-11.58555,DPPI,GPS,qfAwRcPo8Vi,2016, ,-11.5855500001323,8.01967400015502
126,Bo,Benduma,Benduma MCHP,Benduma,MCHP,Government,Functional,8.026164,-11.52166,DPPI,GPS,d5Y98HRfVpE,2016, ,-11.5216600000089,8.02616399996867
127,Bo,Gbongboma,Gbongboma MCHP,Gbongboma,MCHP,Government,Functional,8.030665,-11.78595,DPPI,GPS,pzgD4T1GdAD,2016, ,-11.7859500001923,8.03066499978996
128,Bo,Njandama,Njandama MCHP,Njandama,MCHP,Government,Functional,8.039634,-11.4495,DPPI,GPS,DxaAN6sPx2T,2016, ,-11.4494999998251,8.03963399970939
129,Bo,Gbahama,Gbahama CHP,Gbahama,CHP,Government,Functional,8.04049,-11.3413,SARA,GPS,rqEpgrtV1km,2017, ,-11.3412999995953,8.04048999961384
130,Bo,Kondiama,Kondiama MCHP,Kondiama,MCHP,Government,Functional,8.055515,-11.49763,DPPI,GPS,GCTsijyk3iX,2016, ,-11.4976299998246,8.05551500001729
131,Bo,Pendebu,Pendebu MCHP,Pendebu,MCHP,Government,Functional,8.057394,-11.613696,DPPI,GPS,mL9k9sTblQI,2021, ,-11.6136960003701,8.05739400033292
132,Bo,Korbu,Korbu MCHP,Korbu,MCHP,Government,Functional,8.06611,-11.67523,DPPI,GPS,irL0T794R4V,2016, ,-11.6752299997646,8.06611000027635
133,Bo,Samie Buma,Samie Buma MCHP,Samie Buma,MCHP,Government,Functional,8.078658,-11.51992,SARA,GPS,d12uaj9l1cZ,2017, ,-11.5199199998081,8.0786579997669
134,Bo,Ngelehun,Ngelehun CHC,Ngelehun,CHC,Government,Functional,8.103755,-11.42019,DPPI,GPS,rvphgxdAUQw,2016, ,-11.4201899998686,8.10375499969354
135,Bo,Ngalu,Ngalu CHC,Ngalu,CHC,Government,Functional,8.10752,-11.55735,DPPI,GPS,yVSrSeEqEW4,2016, ,-11.5573500001024,8.10751999974826
136,Bo,Gbaiima,Gbaiima CHC,Gbaiima,CHC,Government,Functional,8.109473,-11.8492,DPPI,GPS,xddkjfAwqmL,2016, ,-11.8491999995803,8.10947299987907
137,Bo,Dambala,Damballa CHC,Damballa,CHC,Government,Functional,8.120852,-11.703633,FMFL,GPS,T0Hx20wwR7A,2015, ,-11.7036330001628,8.12085200031959
138,Bo,Gbangba,Gbangba MCHP,Gbangba,MCHP,Government,Functional,8.121512,-11.75741,DPPI,GPS,d6CexIzE4ha,2016, ,-11.7574099997717,8.12151200017871
139,Bo,Nengbema,Nengbema CHP,Nengbema,CHP,Government,Functional,8.127103,-11.65287,DPPI,GPS,LMuEMW6zZep,2016, ,-11.6528700001504,8.12710299990357
140,Bo,Njagbahun,Njagbahun MCHP,Njagbahun,MCHP,Government,Functional,8.149696,-11.433995,DPPI,GPS,LbDamdJ2rm9,2021, ,-11.4339949997694,8.14969600037017
141,Bo,Sahn,Sahn CHC,Sahn,CHC,Government,Functional,8.15813,-11.59803,DPPI,GPS,NpjqmBn5SfE,2016, ,-11.5980300000844,8.15812999989964
142,Bo,Mendewa Bagbwe,Mendewa MCHP,Mendewa,MCHP,Government,Functional,8.161407,-11.48382,DPPI,GPS,D8lcGSR5Fc1,2016, ,-11.4838199996932,8.16140699993315
143,Bo,Njala,Njala CHC,Njala,CHC,Government,Functional,8.200548,-11.45943,DPPI,GPS,ONMRsrAnJJI,2016, ,-11.4594299999945,8.20054799999025
144,Bo,Gumahun,Gumahun MCHP,Gumahun,MCHP,Government,Functional,8.202576,-11.431253,DPPI,GPS,e4iHmxsV62n,2021, ,-11.4312530001258,8.20257599998246
145,Bo,Komboya Gbauja,Komboya Gbauja MCHP,Komboya Gbauja,MCHP,Government,Functional,8.203226,-11.50845,DPPI,GPS,V65lxKgyfvT,2016, ,-11.5084499996677,8.20322600027976
146,Bo,Ngogbebu,Ngogbebu MCHP,Ngogbebu,MCHP,Government,Functional,8.214393,-11.55062,DPPI,GPS,aDKIOiPyJOe,2016, ,-11.5506200000129,8.21439299993705
