FID,district,community,facility,fac_name,type,ownership,functional,lat,long,source,source_geo,dhis2_id,geo_date,comments,x,y
812,Moyamba,Mosella,Mosella CHP,Mosella,CHP,Government,Functional,8.295828,-12.66899,DPPI,GPS,Lxn0YLVBxf7,2016, ,-12.6689899995887,8.29582799976242
813,Moyamba,Ferry,Ferry CHP,Ferry,CHP,Government,Functional,8.39322,-12.82239,DPPI,GPS,TZt3p3RTJk2,2016, ,-12.8223899995988,8.39321999980319
814,Moyamba,Njagbahun(LB),Njagbahun MCHP,Njagbahun,MCHP,Government,Functional,7.91587,-12.273828,DPPI,GPS,YFUZo0NR3g8,2021, ,-12.2738279995625,7.91587000030034
815,Moyamba,Moyollo,Moyollo MCHP,Moyollo,MCHP,Government,Functional,8.159043,-12.35317,DPPI,GPS,KJ8Wg28Dd1R,2016, ,-12.3531699999954,8.15904299973471
816,Moyamba,Mogomgbe,Mogomgbe MCHP,Mogomgbe,MCHP,Government,Functional,7.838963,-12.265541,DPPI,GPS,AuoG08Ctb0p,2016,Requires Validation/Ground truthing,-12.2655409996174,7.83896299974271
817,Moyamba,MoribaTown,St. Marys CHP,St. Marys,CHP,Faith Based,Non-Functional,0,0,DPPI, ,No Data,0,no lat/long
818,Moyamba,Levuma,Levuma Kaiyamba MCHP,Levuma Kaiyamba,MCHP,Government,Functional,8.1168567,-12.3719383,DPPI,GPS,No Data,2023, ,-12.3719382998127,8.11685670007671
819,Kono,Yengema,Yengema CHC,Yengema,CHC,Government,Functional,8.616507,-11.04253,DPPI,GPS,s0iB34MUnQt,2016, ,-11.0425300002593,8.6165070003978
820,Kono,Bombordu,Bombordu CHP,Bombordu,CHP,Government,Functional,8.62184,-10.86148,NEMS,GPS,N55rnCinTwB,2015, ,-10.8614800004016,8.62183999991612
821,Kono,Bandasuma Soa,Bandasuma MCHP,Bandasuma,MCHP,Government,Functional,8.52682,-10.70965,NEMS,GPS,g9msJuVUHCx,2015, ,-10.7096499999475,8.52682000044274
822,Kono,Bangambaya,Bangambaya CHP,Bangambaya,CHP,Government,Functional,8.81742,-11.17134,DPPI,GPS,S6R0Syx3h7u,2016, ,-11.1713400003407,8.81741999983319
